अ	[सं.] ना.
अँ	नि.
अँ त	निपात
अँ नाइँ	निपात
अँ हो	विस्मयादिबोधक
अँएरो	नाम
अँकरा	नाम
अँकवार	नाम [सं. अङ्कपाली]
अँका	नाम [अस.]
अँकाइ	ना.
अँकाइनु	क.क्रि.
अँकाउनु	प्रे.क्रि.
अँकौनी	नाम
अँखडि	विशेषण
अँखडी	विशेषण
अँखरो	विशेषण
अँखलाकँखला	नाम
अँखलो	नाम
अँखा	नाम
अँखाताली	नाम
अँखी	नाम
अँख्या	विशेषण
अँगरखा	नाम [प्रा. अङ्गरख]
अँगरखा/अँगर्खा	ना.
अँगर्खा	नाम [प्रा. अङ्गरख]
अँगवछा	नाम [सं. अङ्गरक्षा]
अँगार	ना.
अँगारधर्मी	नाम
अँगारे	वि.
अँगालाइ	ना.
अँगालिनु	क.क्रि.
अँगाले	वि.
अँगालो	ना.
अँगालो दिनु	टु.
अँगालो मार्नु	टुक्का
अँगालो मार्नु/हाल्नु	टु.
अँगालो हाल्नु	टुक्का
अँगाल्नु	स.क्रि.
अँगिया	नाम
अँगुच्छा	नाम [था.]
अँगुठी	ना.
अँगुठो	ना.
अँगेटो	नाम
अँगेठ	नाम
अँगेठी	ना.
अँगेना	नाम
अँगेनु	नाम
अँगेर	ना.
अँगेरी	ना.
अँगेरी कानुन	नाम
अँगोछा	ना.
अँगौठी	नाम
अँचार	नाम [भोज.]
अँचिलो	नाम [सं. अचला]
अँचेटाइ	ना.
अँचेटाइनु	क.क्रि.
अँचेटाउनु	प्रे.क्रि.
अँचेटिनु	क.क्रि.
अँचेटो	नाम
अँचेट्नु	स.क्रि.
अँचेला	ना.
अँजरापँजरा	क्रियाविशेषण [भोज.]
अँजुलाइ	ना.
अँजुलिनु	क.क्रि.
अँजुली	ना.
अँजुली जोड्नु	दु.
अँजुली थाप्नु	टु.
अँजुली दिनु	टु.
अँजुल्नु	स.क्रि.
अँजौलो	नाम [सं. अञ्जलि]
अँट	क्रियाविशेषण
अँटाइ	ना.
अँटाउनु	प्रेरणार्थक क्रिया
अँटैना	विशेषण [था.]
अँट्वा	नाम [था.]
अँठलो	नाम
अँठाइलो	विशेषण
अँठाकँठा	नाम
अँठिनु	अ.क्रि.
अँठिया	ना.
अँठिला	नाम
अँठिलो	विशेषण
अँठ्याइ	ना.
अँठ्याइनु	क.क्रि.
अँठ्याउनी	नाम
अँठ्याउनु	स.क्रि.
अँठ्यान	नाम
अँडा	नाम [था.]
अँडिर	ना.
अँडिल	नाम [सं. एरण्ड]
अँडुवा	वि.
अँतेराइ	ना.
अँतेरिनु	अ.क्रि.
अँतेर्नु	स.क्रि.
अँधरमुखे	विशेषण
अँधरा	विशेषण
अँधलो	विशेषण
अँधेर	ना.
अँधेरिनु	अकर्मक क्रिया [अँधेरो+इ(नु)]
अँधेरी	ना.
अँधेरीपक्ष	नाम
अँधेरो	ना. / वि.
अँध्यार	ना. / वि.
अँध्यार खाउडे/खाउडो	वि.
अँध्यारखाउडे	विशेषण
अँध्यारखाउडो	विशेषण
अँध्यारमुखे	वि.
अँध्याराको जँघार	टु.
अँध्यारिनु	अकर्मक क्रिया
अँध्यारो	ना.
अँप	नाम
अँरो	नाम
अँवल	नाम
अँहँ	विस्मयादिबोधक
अं	नाम
अंको	नाम [प्राने]
अंश	ना.
अंशग्राही	विशेषण [सं.]
अंशतः	क्रि.वि.
अंशदपोट	नाम
अंशदाता	नाम [सं.]
अंशदान	ना.
अंशधर	ना.
अंशधारी	विशेषण [सं.]
अंशपत्र	ना.
अंशबखेडा	ना.
अंशबजार	नाम
अंशबन्डा	ना.
अंशभाग	नाम [सं.]
अंशभागी	ना.
अंशभाजन	नाम [सं.]
अंशमल	नाम [प्राने.]
अंशमापन	नाम [सं.]
अंशरोक्का	नाम
अंशविषयक	नाम [सं.]
अंशविहीन	नाम [सं.]
अंशसर्वस्व	नाम [सं]
अंशाक्षरी	विशेषण [अंश+अक्षर+ई]
अंशाङ्कन	नाम [सं.]
अंशावतार	ना.
अंशु	ना.
अंशुपट्ट	नाम [सं.]
अंशुमान्	ना.
अंशुमाली	ना.
अंशुवर्मा	ना.
अंस	ना.
अंसियार	ना.
अंसियारबंसियार	नाम
अंसियारी	वि.
अंस्याहा	ना.
अः	नाम [सं.]
अइँअ	निपात
अइँचनु	सकर्मक क्रिया
अइँटनु	क्रिया
अइउण्	नाम [सं.]
अइगअन	नाम [गन्गा.]
अइज	क्रियाविशेषण [गन्गा.]
अइजकइल	क्रियाविशेषण [गन्गा.]
अइजको	क्रियाविशेषण [गन्गा.]
अइज्यै	विस्मयादिबोधक
अइझानु	नाम
अइठ	विशेषण [गन्गा.]
अइठभाड	नाम [गन्गा.]
अइठमी	नाम
अइठो	नाम
अइडो	नाम
अइति	क्रियाविशेषण
अइथि	क्रियाविशेषण
अइथिउडा	क्रियाविशेषण
